Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
4027,1048,12370,45,0.26,3.07
2148,642,6610,27,0.30,3.08
4620,1427,14210,46,0.31,3.08
1590,466,4780,27,0.29,3.01
4020,1005,12350,45,0.25,3.07
419,142,1290,22,0.34,3.08
509,385,1520,25,0.76,2.99
1813,507,5510,26,0.28,3.04
4689,1185,14420,46,0.25,3.08
753,259,2290,27,0.34,3.04
4784,1273,14640,47,0.27,3.06
2981,834,9020,47,0.28,3.03
1544,603,4680,28,0.39,3.03
2513,945,7650,46,0.38,3.04
4910,1261,15050,46,0.26,3.07
1996,608,6080,27,0.30,3.05
138,97,440,20,0.70,3.19
2379,699,7200,46,0.29,3.03
793,268,2370,28,0.34,2.99
727,390,2200,30,0.54,3.03
1254,605,3740,28,0.48,2.98
3856,1242,11930,46,0.32,3.09
1098,333,3220,26,0.30,2.93
4358,1291,13420,45,0.30,3.08
2356,715,7150,46,0.30,3.03
4057,1047,12440,47,0.26,3.07
1175,352,3470,28,0.30,2.95
4599,1319,14130,46,0.29,3.07
3776,952,11640,46,0.25,3.08
2085,602,6400,27,0.29,3.07
1156,415,3410,26,0.36,2.95
2561,1091,7760,46,0.43,3.03
59,66,150,20,1.12,2.54
997,332,2960,28,0.33,2.97
3359,747,10370,46,0.22,3.09
3693,972,11390,46,0.26,3.08
3107,951,9480,46,0.31,3.05
1342,531,4060,27,0.40,3.03
1539,440,4670,28,0.29,3.03
362,164,1100,21,0.45,3.04
3819,3267,11770,44,0.86,3.08
1384,425,4170,27,0.31,3.01
4563,1950,14020,45,0.43,3.07
1791,444,5460,27,0.25,3.05
247,132,880,21,0.53,3.56
696,246,2110,27,0.35,3.03
1160,391,3420,27,0.34,2.95
3404,876,10530,46,0.26,3.09
1774,525,5430,27,0.30,3.06
4729,1214,14520,45,0.26,3.07
4476,1107,13770,45,0.25,3.08
617,219,1940,28,0.35,3.14
1423,477,4280,27,0.34,3.01
4239,1194,12990,46,0.28,3.06
2181,857,6740,28,0.39,3.09
2877,1082,8740,46,0.38,3.04
4240,1740,12990,45,0.41,3.06
412,516,1270,22,1.25,3.08
2757,921,8330,43,0.33,3.02
496,288,1520,22,0.58,3.06
3304,843,10190,47,0.26,3.08
1639,492,4950,28,0.30,3.02
539,229,1620,27,0.42,3.01
3990,1136,12260,46,0.28,3.07
3887,1088,12030,46,0.28,3.09
1717,518,5240,28,0.30,3.05
1041,381,3120,28,0.37,3.00
3480,1143,10820,46,0.33,3.11
571,206,1760,26,0.36,3.08
3255,864,10060,47,0.27,3.09
1943,537,5870,28,0.28,3.02
3993,1192,12280,46,0.30,3.08
757,196,2300,26,0.26,3.04
2556,758,7750,45,0.30,3.03
3130,750,9610,46,0.24,3.07
4552,1335,13990,45,0.29,3.07
3848,1039,11910,47,0.27,3.10
3407,4709,10540,46,1.38,3.09
3493,1272,10860,44,0.36,3.11
1224,414,3630,26,0.34,2.97
3527,1001,10930,45,0.28,3.10
1848,652,5600,27,0.35,3.03
1338,421,4040,28,0.31,3.02
993,327,2940,28,0.33,2.96
4208,1119,12890,45,0.27,3.06
3114,934,9540,45,0.30,3.06
300,164,1010,21,0.55,3.37
3328,919,10240,47,0.28,3.08
288,135,980,18,0.47,3.40
1018,373,3060,28,0.37,3.01
4744,1203,14560,43,0.25,3.07
1248,436,3710,27,0.35,2.97
3976,1035,12220,46,0.26,3.07
1091,319,3220,26,0.29,2.95
3353,909,10340,47,0.27,3.08
3761,1141,11600,45,0.30,3.08
3055,825,9290,45,0.27,3.04
3188,855,9820,45,0.27,3.08
2450,685,7470,47,0.28,3.05
2042,965,6250,28,0.47,3.06
