Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
2711,-1,0,1,-0.00,0.00
1830,-1,0,-2,-0.00,0.00
1131,0,0,0,0.00,0.00
2226,-1,0,-1,-0.00,0.00
3167,-1,0,1,-0.00,0.00
1433,-1,0,-2,-0.00,0.00
4912,-1,0,-1,-0.00,0.00
847,-2,0,1,-0.00,0.00
1237,0,0,-3,0.00,0.00
286,-1,0,-1,-0.00,0.00
3257,-2,0,1,-0.00,0.00
2257,0,0,1,0.00,0.00
4070,-1,0,-1,-0.00,0.00
4023,-2,0,1,-0.00,0.00
3503,-2,0,-1,-0.00,0.00
4465,0,0,-2,0.00,0.00
1415,-3,0,-7,-0.00,0.00
3181,-1,0,-1,-0.00,0.00
3186,0,0,-1,0.00,0.00
2534,0,0,-1,0.00,0.00
147,0,0,0,0.00,0.00
1535,0,0,0,0.00,0.00
2107,0,0,1,0.00,0.00
457,-2,0,-4,-0.00,0.00
2702,0,0,0,0.00,0.00
129,-1,0,-2,-0.01,0.00
1070,-2,0,0,-0.00,0.00
1851,0,0,0,0.00,0.00
3120,0,0,0,0.00,0.00
285,-1,0,1,-0.00,0.00
3975,0,0,0,0.00,0.00
935,-2,0,0,-0.00,0.00
1633,0,0,-1,0.00,0.00
3787,0,0,-1,0.00,0.00
3031,0,0,0,0.00,0.00
2100,-2,0,1,-0.00,0.00
622,0,0,-1,0.00,0.00
439,-1,0,0,-0.00,0.00
4426,0,0,-2,0.00,0.00
4731,-1,0,1,-0.00,0.00
3193,-2,0,2,-0.00,0.00
3757,-2,0,-1,-0.00,0.00
33,-1,0,1,-0.03,0.00
3823,-1,0,-3,-0.00,0.00
3555,0,0,1,0.00,0.00
77,0,0,-1,0.00,0.00
982,-2,0,-3,-0.00,0.00
3752,-2,0,0,-0.00,0.00
3303,-1,0,-1,-0.00,0.00
1916,0,0,-1,0.00,0.00
3576,-1,0,0,-0.00,0.00
60,-2,0,-1,-0.03,0.00
4225,-2,0,-1,-0.00,0.00
1539,0,0,-2,0.00,0.00
526,-2,0,0,-0.00,0.00
2364,0,0,-2,0.00,0.00
302,-1,0,0,-0.00,0.00
3357,-1,0,-1,-0.00,0.00
4534,-1,0,-1,-0.00,0.00
1804,-1,0,2,-0.00,0.00
228,-1,0,0,-0.00,0.00
4049,-1,0,0,-0.00,0.00
3460,0,0,-1,0.00,0.00
809,0,0,0,0.00,0.00
4481,0,0,-2,0.00,0.00
1824,0,0,0,0.00,0.00
1900,0,0,-2,0.00,0.00
