Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3409,1168,10440,34,0.34,3.06
3707,1075,11440,34,0.29,3.09
2527,760,7790,26,0.30,3.08
4901,1495,15050,34,0.31,3.07
3004,806,9360,31,0.27,3.12
2846,876,8810,27,0.31,3.10
605,275,1790,26,0.45,2.96
4323,1657,13320,34,0.38,3.08
4925,2291,15120,34,0.47,3.07
4149,1562,12780,34,0.38,3.08
1419,545,4070,26,0.38,2.87
2673,734,8200,26,0.27,3.07
3083,888,9600,32,0.29,3.11
871,261,2640,25,0.30,3.03
2071,604,6100,25,0.29,2.95
2926,792,9080,31,0.27,3.10
1129,684,3370,27,0.61,2.98
2180,615,6460,25,0.28,2.96
937,323,2860,26,0.34,3.05
2426,806,7490,27,0.33,3.09
4570,1198,14180,34,0.26,3.10
1887,533,5520,26,0.28,2.93
4822,1194,14810,33,0.25,3.07
3957,1189,12180,34,0.30,3.08
3771,1632,11660,32,0.43,3.09
1807,515,5270,26,0.29,2.92
4066,1194,12570,34,0.29,3.09
2671,856,8200,26,0.32,3.07
2866,862,8830,26,0.30,3.08
3591,1030,11040,33,0.29,3.07
4199,1235,12910,34,0.29,3.07
3825,1531,11820,33,0.40,3.09
4890,1269,15020,34,0.26,3.07
28,54,160,8,1.93,5.71
4781,1357,14730,33,0.28,3.08
63,61,250,15,0.97,3.97
3633,1061,11160,34,0.29,3.07
2218,676,6620,25,0.30,2.98
1189,315,3530,26,0.26,2.97
1884,529,5510,26,0.28,2.92
383,180,1130,24,0.47,2.95
69,53,250,14,0.77,3.62
392,175,1140,23,0.45,2.91
1591,483,4640,26,0.30,2.92
4035,1262,12510,34,0.31,3.10
51,53,210,10,1.04,4.12
1408,444,4010,25,0.32,2.85
2725,732,8350,26,0.27,3.06
54,56,210,14,1.04,3.89
4325,1203,13350,34,0.28,3.09
1719,576,4970,26,0.34,2.89
312,142,890,24,0.46,2.85
569,204,1650,27,0.36,2.90
541,276,1550,26,0.51,2.87
950,295,2920,27,0.31,3.07
3083,879,9600,33,0.29,3.11
1687,565,4840,26,0.33,2.87
3612,1003,11120,34,0.28,3.08
3843,1149,11880,34,0.30,3.09
3667,1130,11300,34,0.31,3.08
1941,593,5790,27,0.31,2.98
2673,751,8200,26,0.28,3.07
486,217,1360,26,0.45,2.80
4962,1384,15310,34,0.28,3.09
1501,442,4330,27,0.29,2.88
2844,749,8810,26,0.26,3.10
3291,1184,10100,34,0.36,3.07
1834,564,5370,26,0.31,2.93
2996,899,9340,32,0.30,3.12
4644,2575,14310,34,0.55,3.08
1873,588,5490,26,0.31,2.93
4941,1664,15190,34,0.34,3.07
4649,1240,14310,34,0.27,3.08
890,272,2720,26,0.31,3.06
3818,1079,11780,34,0.28,3.09
4682,1665,14410,33,0.36,3.08
4077,1189,12600,32,0.29,3.09
1452,589,4190,26,0.41,2.89
3686,1487,11400,33,0.40,3.09
2110,636,6230,26,0.30,2.95
3504,1072,10760,33,0.31,3.07
898,281,2750,26,0.31,3.06
1967,883,5850,27,0.45,2.97
1705,535,4930,26,0.31,2.89
1124,548,3360,26,0.49,2.99
4137,1146,12730,34,0.28,3.08
1670,551,4810,26,0.33,2.88
4326,1474,13350,34,0.34,3.09
2099,633,6200,26,0.30,2.95
2922,780,9080,32,0.27,3.11
3884,1098,11970,34,0.28,3.08
228,135,700,19,0.59,3.07
2631,628,8080,26,0.24,3.07
1369,392,3940,27,0.29,2.88
2400,967,7380,25,0.40,3.08
1276,446,3680,27,0.35,2.88
971,280,2980,26,0.29,3.07
2982,849,9310,31,0.28,3.12
3012,858,9380,32,0.28,3.11
3510,967,10760,33,0.28,3.07
