Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
1880,1279,5300,31,0.68,2.82
2825,1131,8160,31,0.40,2.89
2128,763,6110,30,0.36,2.87
2949,1349,8540,30,0.46,2.90
1832,821,5200,29,0.45,2.84
146,152,290,12,1.04,1.99
3334,1118,9850,30,0.34,2.95
4069,2292,11930,33,0.56,2.93
4616,1826,13590,31,0.40,2.94
3351,1058,9880,30,0.32,2.95
1099,762,2860,29,0.69,2.60
