Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
4333,1133,12770,41,0.26,2.95
3231,1067,9270,34,0.33,2.87
813,852,2390,22,1.05,2.94
4487,1155,13220,40,0.26,2.95
1072,422,2990,23,0.39,2.79
3117,945,9020,33,0.30,2.89
1447,568,4150,23,0.39,2.87
4970,1887,14660,42,0.38,2.95
4920,1531,14550,51,0.31,2.96
3887,1391,11170,51,0.36,2.87
875,288,2580,22,0.33,2.95
1800,554,5170,23,0.31,2.87
3029,996,8780,32,0.33,2.90
3219,1342,9240,32,0.42,2.87
2476,774,7460,26,0.31,3.01
1960,588,5760,23,0.30,2.94
3449,939,9860,32,0.27,2.86
751,1210,2240,22,1.61,2.98
2378,645,7200,26,0.27,3.03
3798,1742,10870,37,0.46,2.86
4821,2175,14220,41,0.45,2.95
2345,627,7110,26,0.27,3.03
2545,1195,7650,25,0.47,3.01
4424,1925,13080,39,0.44,2.96
2752,782,8210,26,0.28,2.98
4740,2591,13960,41,0.55,2.95
1239,376,3470,23,0.30,2.80
3967,1105,11410,40,0.28,2.88
4651,1445,13690,40,0.31,2.94
3866,2500,11080,41,0.65,2.87
3876,1264,11110,41,0.33,2.87
783,237,2300,22,0.30,2.94
4810,2027,14190,41,0.42,2.95
4264,2077,12600,39,0.49,2.95
248,237,780,21,0.96,3.15
1516,461,4340,23,0.30,2.86
4242,1384,12530,42,0.33,2.95
435,215,1200,22,0.49,2.76
4231,1321,12480,40,0.31,2.95
1230,486,3460,23,0.40,2.81
1995,692,5900,23,0.35,2.96
1874,766,5410,24,0.41,2.89
4137,1212,12120,40,0.29,2.93
3456,2868,9900,33,0.83,2.86
1724,569,4920,23,0.33,2.85
2282,709,6930,27,0.31,3.04
4978,1374,14670,41,0.28,2.95
996,518,2800,22,0.52,2.81
2160,606,6570,23,0.28,3.04
3447,1055,9860,34,0.31,2.86
4338,1290,12780,42,0.30,2.95
3446,869,9860,33,0.25,2.86
531,232,1390,22,0.44,2.62
3484,1065,9950,33,0.31,2.86
4726,1438,13930,42,0.30,2.95
712,412,2120,22,0.58,2.98
1279,636,3590,24,0.50,2.81
2055,735,6110,23,0.36,2.97
3719,1055,10600,41,0.28,2.85
1030,300,2880,23,0.29,2.80
3834,1092,11000,41,0.28,2.87
4724,1802,13930,41,0.38,2.95
2173,586,6610,24,0.27,3.04
1308,422,3720,23,0.32,2.84
3543,1079,10070,39,0.30,2.84
1598,754,4580,23,0.47,2.87
1407,424,4000,23,0.30,2.84
3973,1452,11450,40,0.37,2.88
3965,1152,11390,41,0.29,2.87
4435,1501,13080,41,0.34,2.95
1875,550,5420,23,0.29,2.89
1185,527,3350,23,0.44,2.83
1176,473,3340,23,0.40,2.84
3921,1267,11300,41,0.32,2.88
3715,1048,10560,40,0.28,2.84
2811,1585,8350,33,0.56,2.97
3693,1181,10480,41,0.32,2.84
159,126,550,13,0.79,3.46
3181,1010,9190,33,0.32,2.89
2319,652,7000,25,0.28,3.02
1739,543,4970,24,0.31,2.86
2684,770,8040,25,0.29,3.00
2793,1159,8300,25,0.41,2.97
4638,1217,13660,42,0.26,2.95
4920,1752,14550,42,0.36,2.96
4962,1340,14650,41,0.27,2.95
105,57,340,11,0.54,3.24
2030,751,6020,24,0.37,2.97
4282,1242,12660,41,0.29,2.96
4263,1803,12600,41,0.42,2.96
3866,1197,11080,41,0.31,2.87
698,265,2000,22,0.38,2.87
3063,907,8890,34,0.30,2.90
2586,1672,7710,27,0.65,2.98
1592,573,4550,23,0.36,2.86
3861,1120,11070,41,0.29,2.87
2135,590,6410,23,0.28,3.00
54,82,200,13,1.52,3.70
1011,444,2840,23,0.44,2.81
1100,420,3050,24,0.38,2.77
