Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
4027,-2,0,-1,-0.00,0.00
2148,-1,0,-1,-0.00,0.00
4620,0,0,-4,0.00,0.00
1590,-1,0,-2,-0.00,0.00
4020,-1,0,2,-0.00,0.00
419,-1,0,-1,-0.00,0.00
509,-1,0,-3,-0.00,0.00
1813,-1,0,0,-0.00,0.00
4689,-1,0,-2,-0.00,0.00
753,-1,0,0,-0.00,0.00
4784,-1,0,-1,-0.00,0.00
2981,-1,0,-2,-0.00,0.00
1544,-1,0,0,-0.00,0.00
2513,-2,0,-2,-0.00,0.00
4910,0,0,-2,0.00,0.00
1996,-1,0,-3,-0.00,0.00
138,-1,0,0,-0.01,0.00
2379,-1,0,0,-0.00,0.00
793,-1,0,0,-0.00,0.00
727,-1,0,-3,-0.00,0.00
1254,0,0,0,0.00,0.00
3856,0,0,0,0.00,0.00
1098,-1,0,2,-0.00,0.00
4358,0,0,0,0.00,0.00
2356,-2,0,-5,-0.00,0.00
4057,0,0,-1,0.00,0.00
1175,0,0,-4,0.00,0.00
4599,-1,0,-2,-0.00,0.00
3776,0,0,-1,0.00,0.00
2085,0,0,-1,0.00,0.00
1156,0,0,2,0.00,0.00
2561,-1,0,0,-0.00,0.00
59,-1,0,0,-0.02,0.00
997,0,0,-1,0.00,0.00
3359,-1,0,-1,-0.00,0.00
3693,0,0,-2,0.00,0.00
3107,-1,0,-1,-0.00,0.00
1342,-1,0,-1,-0.00,0.00
1539,0,0,-3,0.00,0.00
362,-5,0,1,-0.01,0.00
3819,0,0,0,0.00,0.00
1384,-1,0,1,-0.00,0.00
4563,0,0,1,0.00,0.00
1791,-1,0,1,-0.00,0.00
247,-2,0,-1,-0.01,0.00
696,-1,0,0,-0.00,0.00
1160,0,0,1,0.00,0.00
3404,-1,0,-3,-0.00,0.00
1774,-1,0,0,-0.00,0.00
4729,-1,0,0,-0.00,0.00
4476,-2,0,0,-0.00,0.00
617,0,0,0,0.00,0.00
1423,0,0,0,0.00,0.00
4239,0,0,-1,0.00,0.00
2181,0,0,-1,0.00,0.00
2877,0,0,-1,0.00,0.00
4240,-2,0,-2,-0.00,0.00
412,0,0,-2,0.00,0.00
2757,0,0,1,0.00,0.00
496,-2,0,3,-0.00,0.00
3304,-1,0,-1,-0.00,0.00
1639,-1,0,-1,-0.00,0.00
539,-1,0,-1,-0.00,0.00
3990,0,0,-2,0.00,0.00
3887,-4,0,-3,-0.00,0.00
1717,-1,0,-1,-0.00,0.00
1041,0,0,-1,0.00,0.00
3480,-1,0,-2,-0.00,0.00
571,-1,0,1,-0.00,0.00
3255,-2,0,-3,-0.00,0.00
1943,0,0,-2,0.00,0.00
3993,-2,0,0,-0.00,0.00
757,0,0,0,0.00,0.00
2556,0,0,-1,0.00,0.00
3130,0,0,-4,0.00,0.00
4552,0,0,1,0.00,0.00
3848,0,0,-3,0.00,0.00
3407,0,0,-1,0.00,0.00
3493,0,0,2,0.00,0.00
1224,-1,0,-1,-0.00,0.00
3527,-1,0,0,-0.00,0.00
1848,0,0,-1,0.00,0.00
1338,-1,0,-1,-0.00,0.00
993,-1,0,-1,-0.00,0.00
4208,-1,0,-1,-0.00,0.00
3114,0,0,1,0.00,0.00
300,0,0,0,0.00,0.00
3328,-1,0,-3,-0.00,0.00
288,-2,0,1,-0.01,0.00
1018,0,0,-1,0.00,0.00
4744,-1,0,3,-0.00,0.00
1248,0,0,1,0.00,0.00
3976,0,0,-1,0.00,0.00
1091,0,0,1,0.00,0.00
3353,0,0,-1,0.00,0.00
3761,0,0,-5,0.00,0.00
3055,0,0,0,0.00,0.00
3188,-2,0,1,-0.00,0.00
2450,0,0,-2,0.00,0.00
2042,-1,0,-1,-0.00,0.00
