Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3903,1212,11620,31,0.31,2.98
1500,505,4340,28,0.34,2.89
1689,592,4940,28,0.35,2.92
3710,1037,10930,31,0.28,2.95
4688,1450,14120,37,0.31,3.01
3708,1011,10920,30,0.27,2.94
3235,875,9400,28,0.27,2.91
2158,622,6330,25,0.29,2.93
3601,1167,10650,31,0.32,2.96
4751,1285,14280,39,0.27,3.01
4139,1665,12280,31,0.40,2.97
272,206,800,21,0.76,2.94
2458,860,7130,28,0.35,2.90
2673,752,7890,27,0.28,2.95
3152,1382,9260,28,0.44,2.94
2385,679,6900,28,0.28,2.89
2206,645,6460,27,0.29,2.93
3023,970,8860,28,0.32,2.93
1057,368,3100,22,0.35,2.93
1557,529,4510,26,0.34,2.90
181,307,550,22,1.70,3.04
2045,621,5990,29,0.30,2.93
1132,407,3220,27,0.36,2.84
222,178,670,22,0.80,3.02
4389,1300,13110,40,0.30,2.99
28,64,50,16,2.29,1.79
2796,1229,8240,26,0.44,2.95
3533,1040,10380,30,0.29,2.94
407,163,1240,21,0.40,3.05
3225,913,9390,28,0.28,2.91
1226,413,3460,29,0.34,2.82
439,196,1320,22,0.45,3.01
771,261,2360,20,0.34,3.06
60,186,110,17,3.10,1.83
3661,1061,10800,29,0.29,2.95
2565,845,7500,28,0.33,2.92
441,156,1330,22,0.35,3.02
1289,851,3700,28,0.66,2.87
4159,1970,12360,30,0.47,2.97
149,95,410,22,0.64,2.75
1156,539,3290,27,0.47,2.85
3410,1116,9960,30,0.33,2.92
156,326,460,22,2.09,2.95
1655,620,4800,28,0.37,2.90
4625,1353,13870,40,0.29,3.00
2176,584,6380,27,0.27,2.93
3701,1374,10920,29,0.37,2.95
4114,1083,12230,29,0.26,2.97
4628,1302,13880,40,0.28,3.00
2578,772,7520,28,0.30,2.92
1856,1736,5390,27,0.94,2.90
3807,1051,11360,31,0.28,2.98
2378,821,6870,28,0.35,2.89
2058,732,6050,29,0.36,2.94
662,313,2000,22,0.47,3.02
131,80,360,21,0.61,2.75
1854,808,5390,28,0.44,2.91
343,226,1000,22,0.66,2.92
4141,1086,12300,31,0.26,2.97
227,217,680,22,0.96,3.00
2751,1096,8100,27,0.40,2.94
4766,1163,14320,39,0.24,3.00
2711,916,8000,28,0.34,2.95
6,39,10,5,6.50,1.67
2530,808,7410,28,0.32,2.93
2870,877,8440,27,0.31,2.94
3242,1023,9410,27,0.32,2.90
325,197,930,21,0.61,2.86
3288,978,9530,30,0.30,2.90
3104,905,9140,28,0.29,2.94
3853,1572,11490,30,0.41,2.98
4426,1132,13240,40,0.26,2.99
985,468,2950,21,0.48,2.99
1251,728,3560,29,0.58,2.85
2784,833,8210,27,0.30,2.95
2229,653,6520,28,0.29,2.93
2717,1767,8010,27,0.65,2.95
2407,1029,7010,27,0.43,2.91
2463,939,7150,28,0.38,2.90
610,552,1820,22,0.90,2.98
2402,656,6980,28,0.27,2.91
1531,669,4400,27,0.44,2.87
235,129,680,22,0.55,2.89
832,880,2590,18,1.06,3.11
2251,679,6600,28,0.30,2.93
4406,1587,13150,39,0.36,2.98
4574,1609,13720,40,0.35,3.00
4670,1426,14070,39,0.31,3.01
2408,748,7010,28,0.31,2.91
478,245,1450,22,0.51,3.03
3137,919,9220,28,0.29,2.94
4478,1335,13380,40,0.30,2.99
2713,822,8000,27,0.30,2.95
3879,1353,11550,31,0.35,2.98
1469,494,4260,28,0.34,2.90
4994,1399,14850,41,0.28,2.97
4510,1331,13480,41,0.30,2.99
589,286,1790,22,0.49,3.04
2500,842,7260,29,0.34,2.90
2851,847,8370,28,0.30,2.94
