Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
4027,1046,12370,44,0.26,3.07
2148,641,6610,26,0.30,3.08
4620,1427,14210,42,0.31,3.08
1590,465,4780,25,0.29,3.01
4020,1004,12350,47,0.25,3.07
419,141,1290,21,0.34,3.08
509,384,1520,22,0.75,2.99
1813,506,5510,26,0.28,3.04
4689,1184,14420,44,0.25,3.08
753,258,2290,27,0.34,3.04
4784,1272,14640,46,0.27,3.06
2981,833,9020,45,0.28,3.03
1544,602,4680,28,0.39,3.03
2513,943,7650,44,0.38,3.04
4910,1261,15050,44,0.26,3.07
1996,607,6080,24,0.30,3.05
138,96,440,20,0.70,3.19
2379,698,7200,46,0.29,3.03
793,267,2370,28,0.34,2.99
727,389,2200,27,0.54,3.03
1254,605,3740,28,0.48,2.98
3856,1242,11930,46,0.32,3.09
1098,332,3220,28,0.30,2.93
4358,1291,13420,45,0.30,3.08
2356,713,7150,41,0.30,3.03
4057,1047,12440,46,0.26,3.07
1175,352,3470,24,0.30,2.95
4599,1318,14130,44,0.29,3.07
3776,952,11640,45,0.25,3.08
2085,602,6400,26,0.29,3.07
1156,415,3410,28,0.36,2.95
2561,1090,7760,46,0.43,3.03
59,65,150,20,1.10,2.54
997,332,2960,27,0.33,2.97
3359,746,10370,45,0.22,3.09
3693,972,11390,44,0.26,3.08
3107,950,9480,45,0.31,3.05
1342,530,4060,26,0.39,3.03
1539,440,4670,25,0.29,3.03
362,159,1100,22,0.44,3.04
3819,3267,11770,44,0.86,3.08
1384,424,4170,28,0.31,3.01
4563,1950,14020,46,0.43,3.07
1791,443,5460,28,0.25,3.05
247,130,880,20,0.53,3.56
696,245,2110,27,0.35,3.03
1160,391,3420,28,0.34,2.95
3404,875,10530,43,0.26,3.09
1774,524,5430,27,0.30,3.06
4729,1213,14520,45,0.26,3.07
4476,1105,13770,45,0.25,3.08
617,219,1940,28,0.35,3.14
1423,477,4280,27,0.34,3.01
4239,1194,12990,45,0.28,3.06
2181,857,6740,27,0.39,3.09
2877,1082,8740,45,0.38,3.04
4240,1738,12990,43,0.41,3.06
412,516,1270,20,1.25,3.08
2757,921,8330,44,0.33,3.02
496,286,1520,25,0.58,3.06
3304,842,10190,46,0.25,3.08
1639,491,4950,27,0.30,3.02
539,228,1620,26,0.42,3.01
3990,1136,12260,44,0.28,3.07
3887,1084,12030,43,0.28,3.09
1717,517,5240,27,0.30,3.05
1041,381,3120,27,0.37,3.00
3480,1142,10820,44,0.33,3.11
571,205,1760,27,0.36,3.08
3255,862,10060,44,0.26,3.09
1943,537,5870,26,0.28,3.02
3993,1190,12280,46,0.30,3.08
757,196,2300,26,0.26,3.04
2556,758,7750,44,0.30,3.03
3130,750,9610,42,0.24,3.07
4552,1335,13990,46,0.29,3.07
3848,1039,11910,44,0.27,3.10
3407,4709,10540,45,1.38,3.09
3493,1272,10860,46,0.36,3.11
1224,413,3630,25,0.34,2.97
3527,1000,10930,45,0.28,3.10
1848,652,5600,26,0.35,3.03
1338,420,4040,27,0.31,3.02
993,326,2940,27,0.33,2.96
4208,1118,12890,44,0.27,3.06
3114,934,9540,46,0.30,3.06
300,164,1010,21,0.55,3.37
3328,918,10240,44,0.28,3.08
288,133,980,19,0.46,3.40
1018,373,3060,27,0.37,3.01
4744,1202,14560,46,0.25,3.07
1248,436,3710,28,0.35,2.97
3976,1035,12220,45,0.26,3.07
1091,319,3220,27,0.29,2.95
3353,909,10340,46,0.27,3.08
3761,1141,11600,40,0.30,3.08
3055,825,9290,45,0.27,3.04
3188,853,9820,46,0.27,3.08
2450,685,7470,45,0.28,3.05
2042,964,6250,27,0.47,3.06
