Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3409,-1,0,0,-0.00,0.00
3707,0,0,0,0.00,0.00
2527,-1,0,0,-0.00,0.00
4901,-1,0,-2,-0.00,0.00
3004,-1,0,0,-0.00,0.00
2846,0,0,-1,0.00,0.00
605,0,0,-2,0.00,0.00
4323,-1,0,-1,-0.00,0.00
4925,0,0,0,0.00,0.00
4149,0,0,-1,0.00,0.00
1419,-1,0,-1,-0.00,0.00
2673,-1,0,-2,-0.00,0.00
3083,-2,0,-1,-0.00,0.00
871,-1,0,0,-0.00,0.00
2071,0,0,-2,0.00,0.00
2926,0,0,1,0.00,0.00
1129,0,0,-3,0.00,0.00
2180,-1,0,-2,-0.00,0.00
937,-1,0,0,-0.00,0.00
2426,-1,0,-3,-0.00,0.00
4570,-1,0,0,-0.00,0.00
1887,-2,0,0,-0.00,0.00
4822,-3,0,0,-0.00,0.00
3957,0,0,0,0.00,0.00
3771,-2,0,0,-0.00,0.00
1807,0,0,-2,0.00,0.00
4066,-2,0,0,-0.00,0.00
2671,-2,0,-1,-0.00,0.00
2866,-1,0,0,-0.00,0.00
3591,0,0,1,0.00,0.00
4199,-2,0,0,-0.00,0.00
3825,-1,0,1,-0.00,0.00
4890,0,0,0,0.00,0.00
28,0,0,0,0.00,0.00
4781,0,0,0,0.00,0.00
63,0,0,0,0.00,0.00
3633,-2,0,0,-0.00,0.00
2218,0,0,1,0.00,0.00
1189,-1,0,-2,-0.00,0.00
1884,-1,0,-1,-0.00,0.00
383,-1,0,-2,-0.00,0.00
69,0,0,-2,0.00,0.00
392,0,0,0,0.00,0.00
1591,-1,0,0,-0.00,0.00
4035,0,0,-1,0.00,0.00
51,-1,0,0,-0.02,0.00
1408,0,0,-1,0.00,0.00
2725,0,0,-2,0.00,0.00
54,-2,0,-1,-0.04,0.00
4325,0,0,-1,0.00,0.00
1719,0,0,0,0.00,0.00
312,0,0,-7,0.00,0.00
569,0,0,-4,0.00,0.00
541,-2,0,-3,-0.00,0.00
950,-2,0,-4,-0.00,0.00
3083,0,0,-1,0.00,0.00
1687,-1,0,1,-0.00,0.00
3612,-2,0,0,-0.00,0.00
3843,-1,0,-3,-0.00,0.00
3667,0,0,0,0.00,0.00
1941,-1,0,-1,-0.00,0.00
2673,-1,0,-2,-0.00,0.00
486,-2,0,0,-0.00,0.00
4962,-1,0,0,-0.00,0.00
1501,-1,0,-3,-0.00,0.00
2844,0,0,1,0.00,0.00
3291,-1,0,0,-0.00,0.00
1834,0,0,-1,0.00,0.00
2996,-1,0,0,-0.00,0.00
4644,-2,0,-1,-0.00,0.00
1873,0,0,1,0.00,0.00
4941,0,0,0,0.00,0.00
4649,-2,0,-2,-0.00,0.00
890,-1,0,-4,-0.00,0.00
3818,-1,0,0,-0.00,0.00
4682,0,0,1,0.00,0.00
4077,0,0,0,0.00,0.00
1452,-1,0,-3,-0.00,0.00
3686,0,0,1,0.00,0.00
2110,-1,0,0,-0.00,0.00
3504,-1,0,1,-0.00,0.00
898,-1,0,-1,-0.00,0.00
1967,-1,0,-1,-0.00,0.00
1705,0,0,-2,0.00,0.00
1124,-1,0,0,-0.00,0.00
4137,-1,0,0,-0.00,0.00
1670,0,0,1,0.00,0.00
4326,-1,0,-1,-0.00,0.00
2099,-1,0,0,-0.00,0.00
2922,0,0,-3,0.00,0.00
3884,-1,0,-1,-0.00,0.00
228,0,0,5,0.00,0.00
2631,-2,0,-1,-0.00,0.00
1369,-2,0,-3,-0.00,0.00
2400,0,0,-1,0.00,0.00
1276,0,0,-1,0.00,0.00
971,-1,0,-1,-0.00,0.00
2982,-2,0,0,-0.00,0.00
3012,-1,0,-1,-0.00,0.00
3510,-1,0,0,-0.00,0.00
