Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3415,1403,10090,30,0.41,2.95
3589,1313,10550,32,0.37,2.94
1463,463,4100,29,0.32,2.80
4491,1488,13270,33,0.33,2.95
1387,579,3870,31,0.42,2.79
1352,562,3720,30,0.42,2.75
4472,1314,13170,33,0.29,2.94
1052,544,2740,30,0.52,2.60
2386,806,6790,29,0.34,2.85
3717,1221,10860,32,0.33,2.92
4690,1495,13770,31,0.32,2.94
785,452,2030,29,0.58,2.59
4128,1488,12160,32,0.36,2.95
3813,1107,11140,31,0.29,2.92
3951,1174,11610,30,0.30,2.94
1895,769,5340,30,0.41,2.82
899,505,2310,30,0.56,2.57
1264,721,3510,30,0.57,2.78
231,197,570,15,0.85,2.47
3994,1058,11700,32,0.26,2.93
1555,634,4410,31,0.41,2.84
2550,864,7330,29,0.34,2.87
2587,3167,7460,29,1.22,2.88
1610,528,4630,30,0.33,2.88
156,72,310,15,0.46,1.99
4139,1632,12200,31,0.39,2.95
3499,1072,10290,30,0.31,2.94
38,31,90,9,0.82,2.37
3539,1101,10370,32,0.31,2.93
3047,923,8860,31,0.30,2.91
3732,1634,10910,32,0.44,2.92
109,57,210,16,0.52,1.93
1087,445,2820,30,0.41,2.59
3008,1002,8710,30,0.33,2.90
4262,1229,12570,31,0.29,2.95
3343,1063,9870,28,0.32,2.95
709,451,1860,21,0.64,2.62
2073,691,5860,29,0.33,2.83
1136,796,2960,28,0.70,2.61
4428,1267,13090,30,0.29,2.96
2305,1256,6560,31,0.54,2.85
4549,1584,13370,33,0.35,2.94
1022,484,2680,31,0.47,2.62
3150,1164,9180,30,0.37,2.91
693,387,1830,21,0.56,2.64
2847,875,8200,30,0.31,2.88
4088,1718,12030,31,0.42,2.94
3416,1223,10090,30,0.36,2.95
394,281,1080,16,0.71,2.74
3827,1760,11170,33,0.46,2.92
3225,1007,9390,30,0.31,2.91
4087,1684,12030,32,0.41,2.94
1322,559,3640,29,0.42,2.75
306,270,840,16,0.88,2.75
2480,772,7100,30,0.31,2.86
3480,1018,10250,30,0.29,2.95
3765,1313,10990,32,0.35,2.92
3270,1382,9630,31,0.42,2.94
951,448,2500,29,0.47,2.63
3911,1136,11510,32,0.29,2.94
1770,674,5020,30,0.38,2.84
1138,599,2960,30,0.53,2.60
2843,1030,8190,31,0.36,2.88
1137,511,2960,30,0.45,2.60
1538,502,4340,29,0.33,2.82
3895,1058,11450,32,0.27,2.94
