Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
531,242,1590,27,0.46,2.99
4973,1409,15260,46,0.28,3.07
3642,1827,11230,44,0.50,3.08
4920,2583,15090,47,0.53,3.07
3592,1256,11100,45,0.35,3.09
48,59,130,17,1.23,2.71
1997,700,6080,27,0.35,3.04
4159,1634,12690,44,0.39,3.05
2192,501,6750,27,0.23,3.08
3313,1001,10240,46,0.30,3.09
4118,1165,12540,47,0.28,3.05
4427,1222,13680,46,0.28,3.09
2391,805,7280,45,0.34,3.04
3463,808,10730,47,0.23,3.10
1007,425,3010,28,0.42,2.99
3190,864,9830,45,0.27,3.08
2568,728,7780,45,0.28,3.03
993,404,2940,28,0.41,2.96
867,289,2600,28,0.33,3.00
2690,1144,8110,46,0.43,3.01
1287,349,3840,27,0.27,2.98
3041,1941,9240,54,0.64,3.04
4077,1411,12480,46,0.35,3.06
1409,434,4240,26,0.31,3.01
2625,769,7880,46,0.29,3.00
467,211,1460,22,0.45,3.13
4461,1352,13730,44,0.30,3.08
112,61,340,20,0.54,3.04
1327,768,4000,27,0.58,3.01
3392,1697,10520,40,0.50,3.10
2370,697,7190,45,0.29,3.03
2558,670,7750,43,0.26,3.03
2940,737,8920,46,0.25,3.03
280,114,960,20,0.41,3.43
3462,1600,10730,45,0.46,3.10
794,293,2370,28,0.37,2.98
4729,1533,14520,45,0.32,3.07
4944,1709,15190,44,0.35,3.07
4289,2029,13160,45,0.47,3.07
1726,491,5260,27,0.28,3.05
2869,1421,8690,44,0.50,3.03
4654,1214,14270,46,0.26,3.07
2795,729,8450,47,0.26,3.02
3799,1007,11720,46,0.27,3.09
4499,1195,13850,47,0.27,3.08
4368,1219,13450,45,0.28,3.08
4963,1421,15230,45,0.29,3.07
4268,1379,13080,46,0.32,3.06
618,350,1940,27,0.57,3.14
1928,571,5840,27,0.30,3.03
1636,638,4940,27,0.39,3.02
2302,625,7000,46,0.27,3.04
1828,677,5540,59,0.37,3.03
585,203,1810,27,0.35,3.09
572,228,1760,26,0.40,3.08
2186,1257,6740,27,0.58,3.08
83,98,260,21,1.18,3.13
3181,814,9810,46,0.26,3.08
2074,860,6390,25,0.41,3.08
1538,604,4660,27,0.39,3.03
112,77,340,21,0.69,3.04
315,189,1030,20,0.60,3.27
4208,1088,12890,46,0.26,3.06
4313,1659,13260,46,0.38,3.07
3799,1147,11720,46,0.30,3.09
2820,809,8530,47,0.29,3.02
4064,1240,12470,45,0.31,3.07
4231,1128,12990,46,0.27,3.07
1435,490,4310,28,0.34,3.00
1502,418,4530,26,0.28,3.02
2003,830,6100,28,0.41,3.05
720,286,2170,28,0.40,3.01
2026,503,6190,27,0.25,3.06
606,227,1890,27,0.37,3.12
4566,1462,14030,44,0.32,3.07
2981,883,9020,44,0.30,3.03
3043,1096,9240,46,0.36,3.04
3192,832,9830,45,0.26,3.08
3061,808,9300,45,0.26,3.04
3558,1040,10970,46,0.29,3.08
4040,1148,12410,46,0.28,3.07
3887,1222,12030,43,0.31,3.09
207,102,720,20,0.49,3.48
679,369,2100,27,0.54,3.09
4124,1304,12550,45,0.32,3.04
4338,1693,13330,46,0.39,3.07
2770,743,8370,45,0.27,3.02
4434,1354,13680,45,0.31,3.09
3503,969,10900,46,0.28,3.11
4648,1203,14260,45,0.26,3.07
2664,1069,8000,46,0.40,3.00
3152,868,9680,45,0.28,3.07
1319,507,3970,27,0.38,3.01
560,202,1710,26,0.36,3.05
3585,1236,11080,46,0.34,3.09
2051,502,6310,27,0.24,3.08
1716,443,5230,26,0.26,3.05
2010,493,6140,26,0.25,3.05
1715,529,5230,28,0.31,3.05
659,279,2040,28,0.42,3.10
