Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3903,1212,11620,31,0.31,2.98
1500,505,4340,28,0.34,2.89
1689,592,4940,29,0.35,2.92
3710,1040,10930,31,0.28,2.95
4688,1451,14120,40,0.31,3.01
3708,1012,10920,32,0.27,2.94
3235,877,9400,28,0.27,2.91
2158,624,6330,29,0.29,2.93
3601,1167,10650,30,0.32,2.96
4751,1286,14280,39,0.27,3.01
4139,1666,12280,29,0.40,2.97
272,208,800,24,0.76,2.94
2458,860,7130,28,0.35,2.90
2673,752,7890,28,0.28,2.95
3152,1383,9260,28,0.44,2.94
2385,679,6900,28,0.28,2.89
2206,645,6460,29,0.29,2.93
3023,971,8860,28,0.32,2.93
1057,368,3100,22,0.35,2.93
1557,530,4510,37,0.34,2.90
181,307,550,22,1.70,3.04
2045,621,5990,27,0.30,2.93
1132,407,3220,28,0.36,2.84
222,179,670,16,0.81,3.02
4389,1300,13110,41,0.30,2.99
28,65,50,16,2.32,1.79
2796,1229,8240,28,0.44,2.95
3533,1040,10380,35,0.29,2.94
407,163,1240,22,0.40,3.05
3225,913,9390,27,0.28,2.91
1226,414,3460,28,0.34,2.82
439,199,1320,20,0.45,3.01
771,261,2360,22,0.34,3.06
60,187,110,22,3.12,1.83
3661,1061,10800,31,0.29,2.95
2565,846,7500,28,0.33,2.92
441,156,1330,22,0.35,3.02
1289,852,3700,28,0.66,2.87
4159,1971,12360,32,0.47,2.97
149,96,410,20,0.64,2.75
1156,540,3290,28,0.47,2.85
3410,1118,9960,46,0.33,2.92
156,327,460,22,2.10,2.95
1655,620,4800,28,0.37,2.90
4625,1353,13870,40,0.29,3.00
2176,584,6380,29,0.27,2.93
3701,1375,10920,32,0.37,2.95
4114,1083,12230,32,0.26,2.97
4628,1303,13880,41,0.28,3.00
2578,773,7520,28,0.30,2.92
1856,1736,5390,28,0.94,2.90
3807,1051,11360,32,0.28,2.98
2378,821,6870,28,0.35,2.89
2058,733,6050,28,0.36,2.94
662,313,2000,21,0.47,3.02
131,80,360,22,0.61,2.75
1854,808,5390,28,0.44,2.91
343,226,1000,22,0.66,2.92
4141,1087,12300,31,0.26,2.97
227,217,680,18,0.96,3.00
2751,1098,8100,29,0.40,2.94
4766,1164,14320,41,0.24,3.00
2711,917,8000,28,0.34,2.95
6,50,10,5,8.33,1.67
2530,808,7410,28,0.32,2.93
2870,877,8440,28,0.31,2.94
3242,1025,9410,28,0.32,2.90
325,197,930,14,0.61,2.86
3288,979,9530,30,0.30,2.90
3104,906,9140,28,0.29,2.94
3853,1573,11490,30,0.41,2.98
4426,1133,13240,40,0.26,2.99
985,468,2950,22,0.48,2.99
1251,729,3560,27,0.58,2.85
2784,834,8210,27,0.30,2.95
2229,653,6520,27,0.29,2.93
2717,1767,8010,28,0.65,2.95
2407,1029,7010,28,0.43,2.91
2463,940,7150,28,0.38,2.90
610,552,1820,33,0.90,2.98
2402,658,6980,28,0.27,2.91
1531,670,4400,29,0.44,2.87
235,131,680,22,0.56,2.89
832,880,2590,22,1.06,3.11
2251,680,6600,28,0.30,2.93
4406,1588,13150,38,0.36,2.98
4574,1609,13720,39,0.35,3.00
4670,1426,14070,40,0.31,3.01
2408,749,7010,28,0.31,2.91
478,246,1450,24,0.51,3.03
3137,920,9220,28,0.29,2.94
4478,1335,13380,40,0.30,2.99
2713,822,8000,29,0.30,2.95
3879,1356,11550,31,0.35,2.98
1469,496,4260,28,0.34,2.90
4994,1400,14850,42,0.28,2.97
4510,1335,13480,40,0.30,2.99
589,286,1790,22,0.49,3.04
2500,843,7260,29,0.34,2.90
2851,847,8370,28,0.30,2.94
