Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
4333,-1,0,-1,-0.00,0.00
3231,0,0,0,0.00,0.00
813,-1,0,2,-0.00,0.00
4487,-3,0,0,-0.00,0.00
1072,-1,0,0,-0.00,0.00
3117,-1,0,0,-0.00,0.00
1447,0,0,-1,0.00,0.00
4970,-31,0,-3,-0.01,0.00
4920,-1,0,-10,-0.00,0.00
3887,0,0,-9,0.00,0.00
875,0,0,1,0.00,0.00
1800,0,0,0,0.00,0.00
3029,-2,0,2,-0.00,0.00
3219,-2,0,2,-0.00,0.00
2476,-4,0,0,-0.00,0.00
1960,0,0,-1,0.00,0.00
3449,-1,0,2,-0.00,0.00
751,-1,0,-1,-0.00,0.00
2378,-1,0,0,-0.00,0.00
3798,0,0,4,0.00,0.00
4821,-2,0,-1,-0.00,0.00
2345,0,0,1,0.00,0.00
2545,0,0,2,0.00,0.00
4424,0,0,2,0.00,0.00
2752,-2,0,-1,-0.00,0.00
4740,-1,0,-1,-0.00,0.00
1239,-1,0,0,-0.00,0.00
3967,0,0,1,0.00,0.00
4651,0,0,1,0.00,0.00
3866,-3,0,0,-0.00,0.00
3876,-1,0,0,-0.00,0.00
783,0,0,0,0.00,0.00
4810,-3,0,-7,-0.00,0.00
4264,0,0,2,0.00,0.00
248,-1,0,1,-0.00,0.00
1516,-1,0,0,-0.00,0.00
4242,-1,0,-1,-0.00,0.00
435,-1,0,-1,-0.00,0.00
4231,0,0,2,0.00,0.00
1230,-1,0,0,-0.00,0.00
1995,0,0,0,0.00,0.00
1874,-1,0,-1,-0.00,0.00
4137,0,0,0,0.00,0.00
3456,-1,0,-2,-0.00,0.00
1724,0,0,0,0.00,0.00
2282,0,0,-2,0.00,0.00
4978,0,0,-1,0.00,0.00
996,0,0,-1,0.00,0.00
2160,-1,0,0,-0.00,0.00
3447,-2,0,-3,-0.00,0.00
4338,0,0,-4,0.00,0.00
3446,0,0,0,0.00,0.00
531,-3,0,0,-0.01,0.00
3484,-2,0,0,-0.00,0.00
4726,0,0,-1,0.00,0.00
712,0,0,0,0.00,0.00
1279,-1,0,-1,-0.00,0.00
2055,0,0,-1,0.00,0.00
3719,0,0,-1,0.00,0.00
1030,0,0,1,0.00,0.00
3834,-2,0,-2,-0.00,0.00
4724,0,0,-1,0.00,0.00
2173,0,0,-1,0.00,0.00
1308,-2,0,0,-0.00,0.00
3543,0,0,1,0.00,0.00
1598,0,0,0,0.00,0.00
1407,-1,0,0,-0.00,0.00
3973,0,0,0,0.00,0.00
3965,-2,0,0,-0.00,0.00
4435,-5,0,-1,-0.00,0.00
1875,0,0,-1,0.00,0.00
1185,-1,0,0,-0.00,0.00
1176,-2,0,-1,-0.00,0.00
3921,-2,0,-2,-0.00,0.00
3715,-1,0,2,-0.00,0.00
2811,-1,0,-8,-0.00,0.00
3693,-1,0,-1,-0.00,0.00
159,-1,0,-1,-0.01,0.00
3181,-1,0,0,-0.00,0.00
2319,-1,0,-2,-0.00,0.00
1739,-1,0,-2,-0.00,0.00
2684,-1,0,0,-0.00,0.00
2793,0,0,0,0.00,0.00
4638,0,0,-3,0.00,0.00
4920,0,0,-1,0.00,0.00
4962,-1,0,0,-0.00,0.00
105,-2,0,0,-0.02,0.00
2030,-3,0,-1,-0.00,0.00
4282,-2,0,-1,-0.00,0.00
4263,0,0,0,0.00,0.00
3866,-1,0,0,-0.00,0.00
698,-1,0,-1,-0.00,0.00
3063,0,0,-2,0.00,0.00
2586,-1,0,-1,-0.00,0.00
1592,-1,0,0,-0.00,0.00
3861,0,0,0,0.00,0.00
2135,0,0,0,0.00,0.00
54,0,0,0,0.00,0.00
1011,0,0,0,0.00,0.00
1100,-3,0,-1,-0.00,0.00
