Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
4333,1132,12770,40,0.26,2.95
3231,1067,9270,34,0.33,2.87
813,851,2390,24,1.05,2.94
4487,1152,13220,40,0.26,2.95
1072,421,2990,23,0.39,2.79
3117,944,9020,33,0.30,2.89
1447,568,4150,22,0.39,2.87
4970,1856,14660,39,0.37,2.95
4920,1530,14550,41,0.31,2.96
3887,1391,11170,42,0.36,2.87
875,288,2580,23,0.33,2.95
1800,554,5170,23,0.31,2.87
3029,994,8780,34,0.33,2.90
3219,1340,9240,34,0.42,2.87
2476,770,7460,26,0.31,3.01
1960,588,5760,22,0.30,2.94
3449,938,9860,34,0.27,2.86
751,1209,2240,21,1.61,2.98
2378,644,7200,26,0.27,3.03
3798,1742,10870,41,0.46,2.86
4821,2173,14220,40,0.45,2.95
2345,627,7110,27,0.27,3.03
2545,1195,7650,27,0.47,3.01
4424,1925,13080,41,0.44,2.96
2752,780,8210,25,0.28,2.98
4740,2590,13960,40,0.55,2.95
1239,375,3470,23,0.30,2.80
3967,1105,11410,41,0.28,2.88
4651,1445,13690,41,0.31,2.94
3866,2497,11080,41,0.65,2.87
3876,1263,11110,41,0.33,2.87
783,237,2300,22,0.30,2.94
4810,2024,14190,34,0.42,2.95
4264,2077,12600,41,0.49,2.95
248,236,780,22,0.95,3.15
1516,460,4340,23,0.30,2.86
4242,1383,12530,41,0.33,2.95
435,214,1200,21,0.49,2.76
4231,1321,12480,42,0.31,2.95
1230,485,3460,23,0.39,2.81
1995,692,5900,23,0.35,2.96
1874,765,5410,23,0.41,2.89
4137,1212,12120,40,0.29,2.93
3456,2867,9900,31,0.83,2.86
1724,569,4920,23,0.33,2.85
2282,709,6930,25,0.31,3.04
4978,1374,14670,40,0.28,2.95
996,518,2800,21,0.52,2.81
2160,605,6570,23,0.28,3.04
3447,1053,9860,31,0.31,2.86
4338,1290,12780,38,0.30,2.95
3446,869,9860,33,0.25,2.86
531,229,1390,22,0.43,2.62
3484,1063,9950,33,0.31,2.86
4726,1438,13930,41,0.30,2.95
712,412,2120,22,0.58,2.98
1279,635,3590,23,0.50,2.81
2055,735,6110,22,0.36,2.97
3719,1055,10600,40,0.28,2.85
1030,300,2880,24,0.29,2.80
3834,1090,11000,39,0.28,2.87
4724,1802,13930,40,0.38,2.95
2173,586,6610,23,0.27,3.04
1308,420,3720,23,0.32,2.84
3543,1079,10070,40,0.30,2.84
1598,754,4580,23,0.47,2.87
1407,423,4000,23,0.30,2.84
3973,1452,11450,40,0.37,2.88
3965,1150,11390,41,0.29,2.87
4435,1496,13080,40,0.34,2.95
1875,550,5420,22,0.29,2.89
1185,526,3350,23,0.44,2.83
1176,471,3340,22,0.40,2.84
3921,1265,11300,39,0.32,2.88
3715,1047,10560,42,0.28,2.84
2811,1584,8350,25,0.56,2.97
3693,1180,10480,40,0.32,2.84
159,125,550,12,0.79,3.46
3181,1009,9190,33,0.32,2.89
2319,651,7000,23,0.28,3.02
1739,542,4970,22,0.31,2.86
2684,769,8040,25,0.29,3.00
2793,1159,8300,25,0.41,2.97
4638,1217,13660,39,0.26,2.95
4920,1752,14550,41,0.36,2.96
4962,1339,14650,41,0.27,2.95
105,55,340,11,0.52,3.24
2030,748,6020,23,0.37,2.97
4282,1240,12660,40,0.29,2.96
4263,1803,12600,41,0.42,2.96
3866,1196,11080,41,0.31,2.87
698,264,2000,21,0.38,2.87
3063,907,8890,32,0.30,2.90
2586,1671,7710,26,0.65,2.98
1592,572,4550,23,0.36,2.86
3861,1120,11070,41,0.29,2.87
2135,590,6410,23,0.28,3.00
54,82,200,13,1.52,3.70
1011,444,2840,23,0.44,2.81
1100,417,3050,23,0.38,2.77
